index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max
5/6/20,1534.9978900823,700.870617389,3946.3108237431,105.3429994018,4752.5244405339,182.2263605211,692.8770069294,708.8642278486,180.1480218017,184.3046992406,3901.3021292783,3991.319518208,104.1415352785,106.5444635251,4698.3206714862,4806.7282095817
5/7/20,1370.7597324723,819.9736341561,4112.5725694971,109.7811979537,5042.3274016069,213.1931448806,810.6216230203,829.3256452919,210.7616219853,215.6246677759,4065.6676168686,4159.4775221256,108.5291150293,111.0332808781,4984.8183549182,5099.8364482956
5/8/20,1249.8716821858,890.2603272671,4298.9610769758,114.7566611924,5303.9780654353,231.4676850895,880.106678238,900.4139762963,228.8277363419,234.107633837,4249.9303152665,4347.9918386851,113.4478318244,116.0654905604,5243.4848253288,5364.4713055418
5/9/20,1159.4349114705,926.8421611532,4497.3236249659,120.0517600094,5544.2175461284,240.9789618998,916.2712868578,937.4130354487,238.230534583,243.7273892166,4446.0304871502,4548.6167627815,118.6825386714,121.4209813474,5480.9843126793,5607.4507795775
5/10/20,1088.5514822342,942.4788578186,4700.8018280146,125.4834163536,5768.7641021867,245.0445030328,931.729642958,953.2280726792,242.2497071691,247.8392988966,4647.187968725,4754.4156873041,124.0522455717,126.9145871354,5702.9698572547,5834.5583471187
5/11/20,1031.5608510556,943.7696508805,4905.9376874061,130.9593222511,5980.6666605377,245.3801092289,933.0057141915,954.5335875694,242.5814856898,248.1787327681,4849.9842006439,4961.8911741684,129.4656973478,132.4529471544,5912.4556121832,6048.8777088922
5/12/20,984.699127308,935.0841106219,5110.5003998998,136.4199285394,6182.0044390611,243.1218687617,924.4192347635,945.7489864803,240.3490010385,245.8947364849,5052.2138225533,5168.7869772464,134.8640240107,137.9758330682,6111.4970813274,6252.5117967949
5/13/20,944.2905972136,920.6899842693,5312.3100463152,141.8070443575,6374.807074942,239.37939591,910.1892771406,931.190691398,236.6492120566,242.1095797635,5251.7217778142,5372.8983148162,140.1896983811,143.4243903339,6302.1007533359,6447.5133965481
5/14/20,908.5469458714,902.6359504192,5510.4083387725,147.0950891253,6560.139378317,234.685347109,892.3411542108,912.9307466276,232.0087000948,237.3619941232,5447.5607080678,5573.2559694772,145.4174316322,148.7727466185,6485.3192939108,6634.9594627232
5/15/20,876.6493063794,881.8316509273,5704.461603863,152.2751557499,6738.5684105403,229.2762292411,871.7741331294,891.8891687253,226.6612746136,231.8911838686,5639.4007455367,5769.5224621892,150.5384182587,154.0118932412,6661.7132969248,6815.4235241557
5/16/20,847.4999732502,859.5164361509,5893.9489789724,157.3333403011,6910.7987554245,223.4742733992,849.7134291426,869.3194431593,220.9254915771,226.0230552214,5826.7269681794,5961.1709897654,155.5389129083,159.1277676939,6831.9793102303,6989.6182006186
5/17/20,819.9707390509,836.9671162981,6078.3240749449,162.2550574421,7077.546248685,217.6114502375,827.4212901083,846.512942488,215.1295354281,220.0933650469,6008.9992185494,6147.6489313403,160.4044965937,164.1056182904,6996.8250052514,7158.2674921187
5/18/20,793.9568344977,814.257735829,6257.700741465,167.0433462814,7239.0018235755,211.7070113155,804.9709159903,823.5445556677,209.2924381575,214.1215844736,6186.3300478464,6329.0714350836,165.1381737618,168.948518801,7156.4391375986,7321.5645095523
5/19/20,769.4062691327,791.4016996005,6432.2217304683,171.7020174458,7395.3254475146,205.7644418961,782.3755587598,800.4278404412,203.4176452776,208.1112385147,6358.8605798831,6505.5828810536,169.743711578,173.6603233135,7310.9798502209,7479.6710448084
5/20/20,746.089139253,768.6231301773,6601.9090125485,176.2316574192,7546.7638001449,199.8420138461,759.8567848056,777.3894755489,197.5627640495,202.1212636427,6526.6125346728,6677.2054904242,174.2216898373,178.2416250011,7460.6910093157,7632.8365909742
5/21/20,723.6110570408,746.3410622311,6766.6725273816,180.6298621272,7693.6434517398,194.0486761801,737.8288496009,754.8532748613,191.8355008962,196.2618514639,6689.4968790529,6843.8481757102,178.5697318844,182.6899923701,7605.8954605381,7781.3914429415
5/22/20,701.739275859,724.7856219955,6926.5225701773,184.8969063908,7836.2050985635,188.4442617188,716.5192547299,733.051989261,186.2950062298,190.5935172079,6847.5237908137,7005.5213495409,182.7881094057,187.0057033758,7746.8311549494,7925.5790421777
5/23/20,680.6234013003,703.7383781982,7081.7130834577,189.0395689629,7974.4910306188,182.9719783315,695.7120601857,711.7646962107,180.8851356483,185.0588210148,7000.944316197,7162.4818507183,186.883523841,191.1956140849,7883.5399002237,8065.4421610139
5/24/20,660.2966775148,683.1190765893,7232.4176602161,193.0624837429,8108.5992205483,177.6109599132,675.3279270386,690.91022614,175.58526103,179.6366587964,7149.9300683233,7314.9052521089,190.8605562386,195.2644112473,8016.1185516005,8201.0798894961
5/25/20,640.7272933335,662.9251602369,7378.763334527,196.9690417841,8238.657536548,172.3605416616,655.3643275193,670.4859929546,170.394725155,174.3263581682,7294.6066324106,7462.9200366434,194.7225589761,199.2155245921,8144.693518906,8332.62155419
5/26/20,621.8183822684,643.2317695278,7520.8305815452,200.7613912938,8364.8237423668,167.2402600772,635.8955450189,650.5679940367,165.3328417049,169.1476784495,7435.0535657739,7606.6075973166,198.4716557599,203.0511268278,8269.4207665527,8460.226718181
5/27/20,603.4080225123,624.191742167,7658.6533175064,204.4404376336,8487.285497307,162.2898529634,617.0726740891,631.3108102448,160.4388952632,164.1408106637,7571.3043978252,7746.0022371875,202.1087416257,206.7721336416,8390.48581354,8584.0851810739
5/28/20,585.4132918627,605.8659905596,7792.3130072861,208.0083554306,8606.1873532763,157.5251575455,598.9559324132,612.7760487059,155.7285424274,159.3217726635,7703.4396643124,7881.1863502599,205.6359663985,210.3807444628,8508.031563124,8704.3431434286
5/29/20,567.9398778515,588.0947068028,7922.0092456544,211.4704726766,8721.5744251338,152.9046237687,581.3873347389,594.8020788668,151.1607070321,154.6485405054,7831.6566835753,8012.3618077335,209.0585973028,213.8823480504,8622.102615617,8821.0462346506
5/30/20,551.0312122559,570.7924737232,8047.8969266994,214.8309241213,8833.5203245439,148.406043168,564.2824380975,577.3025093489,146.7134339053,150.0986524307,7956.1085830953,8139.6852703036,212.3807219307,217.281126312,8732.7717431234,8934.2689059645
5/31/20,534.7013819895,553.9093210579,8170.1084696126,218.0932445687,8942.1110352392,144.0164234751,547.5918421501,560.2267999658,142.373878959,145.6589679911,8076.9262717884,8263.2906674367,215.6058347705,220.5806543669,8840.1239487091,9044.0981217694
6/1/20,518.9351439698,537.4307079353,8288.7538284547,221.2603691374,9047.4449055274,139.7319840632,531.3011718674,543.5602440033,138.1383046855,141.3256634409,8194.2184496612,8383.2892072482,218.7368374653,223.7839008095,8944.2564589939,9150.633352061
6/2/20,503.687925118,521.3775228743,8403.9204921562,224.3346332608,9149.6326482914,135.5581559473,515.4310775293,527.3239682194,134.0120801576,137.104231737,8308.0716078102,8499.7693765023,221.7760388122,226.8932277095,9045.2787241517,9253.9865724312
6/3/20,488.8858223587,505.8060837849,8515.673484517,227.3177726873,9248.7973409893,131.5095817841,500.0372347255,511.5749328443,130.0096810286,133.0094825395,8418.550028422,8612.7969406121,224.7251547628,229.9103906118,9143.3124179103,9354.2822640682
6/4/20,474.4256026205,490.8081379678,8624.0553642065,230.2109234798,9345.0744256542,127.6101158716,485.2103443552,496.4059315804,126.1546895323,129.0655422109,8525.6957847734,8722.4149436396,227.5853084231,232.8365385366,9238.4914375517,9451.6574137567
6/5/20,460.2103075961,476.4688131103,8729.1099594092,233.01525559,9438.5940281095,123.8818914087,471.0345632022,481.9030630184,122.4689864326,125.2947963848,8629.5522051772,8828.6677136412,230.357656401,235.6728547789,9330.9444247804,9546.2436314386
6/6/20,446.320769865,462.6650735065,8830.9928096969,235.7349209981,9529.3928042014,120.2929191117,457.3882588147,467.9418881982,118.9209472918,121.6648909315,8730.2730552362,8931.7125641576,233.0463033225,238.4235386736,9420.7076173734,9638.0779910295
6/7/20,432.8700142567,449.2370041619,8929.8766523867,238.3745307619,9617.4881873105,116.8016210821,444.1133400701,454.3606682537,115.4694684182,118.133773746,8828.0291021537,9031.7242026198,235.655807655,241.0932538687,9507.7982498789,9727.1781247421
6/8/20,419.9295703796,436.0742107876,9025.9046906379,240.937907553,9702.9168089785,113.3792948048,431.1006717549,441.0477498204,112.0861746563,114.6724149533,8922.96191582,9128.8474654558,238.1899484716,243.6858666343,9592.2525360465,9813.5810819105
6/9/20,407.5294601458,423.1158343044,9119.1905860112,243.4280854582,9785.7345057738,110.0101169192,418.2900889032,427.9415797057,108.7554231148,111.2648107235,9015.1838614564,9223.197310566,240.6517252545,246.2044456619,9674.1256756141,9897.3433359336
6/10/20,395.6581977708,410.3505508428,9209.8184584689,245.8473099797,9866.0163192913,106.6911432191,405.6703967973,415.0307048882,105.4743031673,107.9079832709,9104.7780996152,9314.8588173225,243.0433578953,248.6512620641,9753.4918543078,9978.5407842748
6/11/20,384.2627897738,397.8165717429,9297.8428863749,248.1970380346,9943.8564961524,103.4323086531,393.2793709672,402.3537725186,102.2526364515,104.6119808548,9191.7985861801,9403.8871865698,245.3662866947,251.0277893746,9830.444243842,10057.2687484629
6/12/20,373.2487349775,385.6016435547,9383.2889064948,250.4779379557,10019.3684880052,100.2564273242,381.2037571907,389.9995299187,99.1129768696,101.3998777789,9276.2700723657,9490.3077406239,247.6211723629,253.3347035485,9905.0950019193,10133.6419740911
6/13/20,362.4800245084,373.8430480378,9466.1520139957,252.6898894906,10092.6849515242,97.1991924898,369.5792714935,378.1068245822,96.0906105883,98.3077743914,9358.1881047181,9574.1159232734,249.8078960192,255.5718829621,9977.5752722308,10207.7946308177
6/14/20,351.7791417962,362.7276021618,9546.3981624463,254.8319838025,10163.9577484106,94.3091765621,358.5906001493,366.8646041743,93.2335560388,95.3847970853,9437.5190251142,9655.2772997784,251.925559192,257.738408413,10048.0351844555,10279.8803123657
6/15/20,341.0790566463,352.3128079868,9624.0625608195,256.9051607611,10233.2805295674,91.6013300766,348.2945893925,356.3310265811,90.5565932421,92.6460669111,9514.2976409595,9733.8274806795,253.9750910318,259.8352304904,10116.5673213838,10349.9937377509
6/16/20,330.65240339,342.2571823667,9699.3986058067,258.9161845493,10300.5719727226,88.9868674153,338.3536507805,346.1607139529,87.9719492029,90.0017856278,9588.7744588907,9810.0227527226,255.9631785741,261.8691905244,10183.0912882453,10418.0526572
6/17/20,320.6326993306,332.383541242,9772.567032876,260.8693458468,10365.8199199648,86.4197207229,328.5926210837,336.1744614004,85.4340814817,87.4053599641,9661.1083811465,9884.0256846056,257.8940635624,263.8446281312,10247.5950657925,10484.0447741371
6/18/20,311.081828798,322.5995442157,9843.6799833449,262.7676381591,10429.0471657198,83.8758814961,318.9202130711,326.2788753603,82.9192553985,84.8325075937,9731.4102700434,9955.9496966465,259.7707053605,265.7645709577,10310.1011884751,10547.9931429645
6/19/20,301.99417954,312.8928269473,9912.8036946308,264.6128296308,10490.3093512089,81.3521350063,309.3242034208,316.4614504738,80.4242928894,82.2799771232,9799.7456075441,10025.8617817175,261.5948519468,267.6308073148,10370.6646629117,10609.9540395061
6/20/20,293.2966427214,303.3310011527,9979.9585002508,266.4054630457,10549.6949644492,78.8660602997,299.8714327197,306.7905695857,77.9665725071,79.7655480923,9866.1344952567,10093.7825052449,263.3670399145,269.443886177,10429.3729678909,10670.0169610075
6/21/20,284.8486129249,294.0616546044,10045.1188298219,268.1448558269,10607.3253402532,76.4560301972,290.7078054635,297.4155037453,75.5840294205,77.3280309738,9930.551654435,10159.6860052087,265.0865944716,271.2031171822,10486.3460543701,10728.3046261362
